2022-2023-autumn-000,2022-2023,autumn,"Introductory, miscellaneous", ,cs7,Personal Finance for Engineers, ,Nash
2022-2023-autumn-001,2022-2023,autumn,Artificial Intelligence, ,cs24,Minds and Machines, ,Wu/Icard
2022-2023-autumn-002,2022-2023,autumn,Artificial Intelligence, ,cs26SI,Beyond NLP, ,Cain
2022-2023-autumn-003,2022-2023,autumn,Software Systems, ,cs44N,Great Ideas in Graphics, ,James
2022-2023-autumn-004,2022-2023,autumn,Software Systems, ,cs46N,Working with Data,http://web.stanford.edu/class/cs46n/,Widom
2022-2023-autumn-005,2022-2023,autumn,Analysis of Algorithms, ,cs64,Computation for Puzzles and Games, ,Tullis
2022-2023-autumn-006,2022-2023,autumn,Technology and Society, ,cs80Q,Race and Gender in Silicon Valley, ,Lee
2022-2023-autumn-007,2022-2023,autumn,"Introductory, miscellaneous", ,cs100A,Problem-solving Lab for CS 106A, ,Parlante
2022-2023-autumn-008,2022-2023,autumn,"Introductory, miscellaneous", ,cs100B,Problem-solving Lab for CS 106B, ,Lee
2022-2023-autumn-009,2022-2023,autumn,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Schwarz
2022-2023-autumn-010,2022-2023,autumn,"Introductory, miscellaneous", ,cs103A,Mathematical Problem-solving Strategies,http://web.stanford.edu/class/cs103a/,Schwarz
2022-2023-autumn-011,2022-2023,autumn,"Introductory, miscellaneous", ,cs105,Introduction to Computers,http://web.stanford.edu/class/cs105/,Young
2022-2023-autumn-012,2022-2023,autumn,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Parlante
2022-2023-autumn-013,2022-2023,autumn,"Introductory, miscellaneous", ,cs106AX,Programming Methodol in JavaScript & Python (Acc),http://web.stanford.edu/class/cs106ax/,Cain
2022-2023-autumn-014,2022-2023,autumn,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Lee/Zelenski
2022-2023-autumn-015,2022-2023,autumn,"Introductory, miscellaneous", ,cs106L,Standard C++ Programming Laboratory,http://web.stanford.edu/class/cs106l/,Schwarz
2022-2023-autumn-016,2022-2023,autumn,"Introductory, miscellaneous", ,cs106M,Enrichment Adventures in Programming Abstractions,https://web.stanford.edu/class/cs106m/,Zelenski
2022-2023-autumn-017,2022-2023,autumn,"Introductory, miscellaneous", ,cs106S,Coding for Social Good,http://web.stanford.edu/class/cs106s/,Cain
2022-2023-autumn-018,2022-2023,autumn,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Cain
2022-2023-autumn-019,2022-2023,autumn,"Introductory, miscellaneous", ,cs107E,Computer Systems from the Ground Up,http://web.stanford.edu/class/cs107e/,Gregg
2022-2023-autumn-020,2022-2023,autumn,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Piech
2022-2023-autumn-021,2022-2023,autumn,Hardware Systems, ,cs111,Operating Systems Principles,https://web.stanford.edu/class/cs111/spring22/index.html,Troccoli
2022-2023-autumn-022,2022-2023,autumn,Numerical Analysis, ,cs131,Computer Vision: Foundations and Applications,http://vision.stanford.edu/teaching/cs131_fall2122/index.html,Niebles Duque
2022-2023-autumn-023,2022-2023,autumn,Software Systems, ,cs145,Data Management and Data Systems,https://cs145-fa21.github.io,Shivakumar
2022-2023-autumn-024,2022-2023,autumn,Software Systems, ,cs147,Introduction to Human-Computer Interaction Design,https://hci.stanford.edu/courses/cs147/2022/wi/,Landay
2022-2023-autumn-025,2022-2023,autumn,Software Systems, ,cs148,Introduction to Computer Graphics and Imaging,http://web.stanford.edu/class/cs148/,Fedkiw
2022-2023-autumn-026,2022-2023,autumn,Software Systems, ,cs149,Parallel Computing,https://gfxcourses.stanford.edu/cs149/fall21,Fatahalian/Olu
