2021-2022-summer-000,2021-2022,summer,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Liu
2021-2022-summer-001,2021-2022,summer,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Gregg
2021-2022-summer-002,2021-2022,summer,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Jue/Han
2021-2022-summer-003,2021-2022,summer,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Kaur
2021-2022-summer-004,2021-2022,summer,Software Systems, ,cs148,Introduction to Computer Graphics and Imaging,http://web.stanford.edu/class/cs148/,Lin/Li
2021-2022-summer-005,2021-2022,summer,Analysis of Algorithms, ,cs161,Design and Analysis of Algorithms,https://stanford-cs161.github.io/summer2022/,Tullis
2021-2022-summer-006,2021-2022,summer,Independent Study and Practicum, ,cs191,Senior Project,http://cs191.stanford.edu/,(none listed)
2021-2022-summer-007,2021-2022,summer,Independent Study and Practicum, ,cs192,Programming Service Project,http://cs192.stanford.edu/,(none listed)
2021-2022-summer-008,2021-2022,summer,Independent Study and Practicum, ,cs193C,Client-Side Internet Technologies,http://web.stanford.edu/class/cs193c/,Young
2021-2022-summer-009,2021-2022,summer,Independent Study and Practicum, ,cs195,Supervised Undergraduate Research, ,(none listed)
2021-2022-summer-010,2021-2022,summer,Independent Study and Practicum, ,cs199,Independent Work,http://cs199.stanford.edu/,(none listed)
2021-2022-summer-011,2021-2022,summer,Independent Study and Practicum, ,cs199P,Independent Work,http://cs199p.stanford.edu/,(none listed)
2021-2022-summer-012,2021-2022,summer,Artificial Intelligence, ,cs229,Machine Learning,http://cs229.stanford.edu/,Avati
2021-2022-summer-013,2021-2022,summer,Independent Study and Practicum, ,cs390A,Curricular Practical Training,http://cs390a.stanford.edu/,(none listed)
2021-2022-summer-014,2021-2022,summer,Independent Study and Practicum, ,cs390B,Curricular Practical Training,http://cs390b.stanford.edu/,(none listed)
2021-2022-summer-015,2021-2022,summer,Independent Study and Practicum, ,cs390C,Curricular Practical Training,http://cs390c.stanford.edu/,(none listed)
2021-2022-summer-016,2021-2022,summer,Independent Study and Practicum, ,cs390D,Part-time Curricular Practical Training, ,(none listed)
2021-2022-summer-017,2021-2022,summer,Independent Study and Practicum, ,cs399,Independent Project,http://cs399.stanford.edu/,(none listed)
2021-2022-summer-018,2021-2022,summer,Independent Study and Practicum, ,cs399P,Independent Project,http://cs399p.stanford.edu/,(none listed)
2021-2022-summer-019,2021-2022,summer,Independent Study and Practicum, ,cs499,Advanced Reading and Research,http://cs499.stanford.edu/,(none listed)
2021-2022-summer-020,2021-2022,summer,Independent Study and Practicum, ,cs499P,Advanced Reading and Research, ,(none listed)
2021-2022-summer-021,2021-2022,summer,"Introductory, miscellaneous", ,cs802,TGR Dissertation,http://cs802.stanford.edu/,(none listed)
