2021-2022-spring-000,2021-2022,spring,"Introductory, miscellaneous", ,cs9,Problem-solving for the CS Technical Interview,http://web.stanford.edu/class/cs9/,Tullis/Benson
2021-2022-spring-001,2021-2022,spring,Hardware Systems, ,cs11SI,How to Make VR: Intro to VR Design and Development,http://web.stanford.edu/class/cs11si/,Borenstein
2021-2022-spring-002,2021-2022,spring,Artificial Intelligence, ,cs21SI,AI for Social Good,http://web.stanford.edu/class/cs21si/,Piech
2021-2022-spring-003,2021-2022,spring,Software Systems, ,cs41,Hap.py Code: The Python Programming Language,https://stanfordpython.com/,Cain
2021-2022-spring-004,2021-2022,spring,Software Systems, ,cs46N,Data-Driven Decisions and Discovery,http://web.stanford.edu/class/cs46n/,Widom
2021-2022-spring-005,2021-2022,spring,Software Systems, ,cs47,Cross-platform Mobile App Development,https://web.stanford.edu/class/cs47/,Landay
2021-2022-spring-006,2021-2022,spring,Mathematical Foundations of Computing, ,cs52,CS+Social Good: Implementing Social Good Projects,http://cs52.stanford.edu/,Cain
2021-2022-spring-007,2021-2022,spring,Mathematical Foundations of Computing, ,cs59SI,Quantum Computing: Open-Source Project Experience, ,Bouland
2021-2022-spring-008,2021-2022,spring,Independent Study and Practicum, ,cs91SI,Digital Canvas: An Introduction to UI/UX Design, ,Cain
2021-2022-spring-009,2021-2022,spring,"Introductory, miscellaneous", ,cs100A,Problem-solving Lab for CS 106A, ,Sahami
2021-2022-spring-010,2021-2022,spring,"Introductory, miscellaneous", ,cs100B,Problem-solving Lab for CS 106B, ,Gregg
2021-2022-spring-011,2021-2022,spring,"Introductory, miscellaneous", ,cs103,Mathematical Foundations of Computing,http://web.stanford.edu/class/cs103/,Lee/Aiken
2021-2022-spring-012,2021-2022,spring,"Introductory, miscellaneous", ,cs103A,Mathematical Problem-solving Strategies,http://web.stanford.edu/class/cs103a/,Lee
2021-2022-spring-013,2021-2022,spring,"Introductory, miscellaneous", ,cs105,Introduction to Computers,http://web.stanford.edu/class/cs105/,Young
2021-2022-spring-014,2021-2022,spring,"Introductory, miscellaneous", ,cs106A,Programming Methodology,https://web.stanford.edu/class/cs106a/,Sahami
2021-2022-spring-015,2021-2022,spring,"Introductory, miscellaneous", ,cs106B,Programming Abstractions,https://web.stanford.edu/class/cs106b/,Gregg
2021-2022-spring-016,2021-2022,spring,"Introductory, miscellaneous", ,cs106E,Exploration of Computing,https://web.stanford.edu/class/cs106e/,Young
2021-2022-spring-017,2021-2022,spring,"Introductory, miscellaneous", ,cs106L,Standard C++ Programming Laboratory,http://web.stanford.edu/class/cs106l/,Schwarz
2021-2022-spring-018,2021-2022,spring,"Introductory, miscellaneous", ,cs106S,Coding for Social Good,http://web.stanford.edu/class/cs106s/,Cain
2021-2022-spring-019,2021-2022,spring,"Introductory, miscellaneous", ,cs107,Computer Organization and Systems,http://web.stanford.edu/class/cs107/,Troccoli
2021-2022-spring-020,2021-2022,spring,"Introductory, miscellaneous", ,cs107A,Problem-solving Lab for CS 107,https://web.stanford.edu/class/cs107a/,Troccoli
2021-2022-spring-021,2021-2022,spring,"Introductory, miscellaneous", ,cs107E,Computer Systems from the Ground Up,http://web.stanford.edu/class/cs107e/,Kozyrakis
2021-2022-spring-022,2021-2022,spring,"Introductory, miscellaneous", ,cs109,Intro to Probability for Computer Scientists,http://web.stanford.edu/class/cs109/,Cain
2021-2022-spring-023,2021-2022,spring,"Introductory, miscellaneous", ,cs109A,Problem Solving Lab for 109,https://web.stanford.edu/class/cs109a/,Cain
2021-2022-spring-024,2021-2022,spring,Hardware Systems, ,cs111,Operating Systems Principles,https://web.stanford.edu/class/cs111/spring22/index.html,Ousterhout/Cai
2021-2022-spring-025,2021-2022,spring,Hardware Systems, ,cs111A,Problem Solving Lab for CS111, ,Ousterhout/Cai
2021-2022-spring-026,2021-2022,spring,Hardware Systems, ,cs114,Selected Readings of CS Research,http://stanford.edu/class/cs114/,Levis
2021-2022-spring-027,2021-2022,spring,Artificial Intelligence, ,cs129,Machine Learning (Applied),https://web.stanford.edu/class/cs129/,Ng/Bensouda Mo
2021-2022-spring-028,2021-2022,spring,Software Systems, ,cs142,Web Applications,http://web.stanford.edu/class/cs142/,Rosenblum
2021-2022-spring-029,2021-2022,spring,Software Systems, ,cs143,Compilers,http://web.stanford.edu/class/cs143/,Kjolstad
2021-2022-spring-030,2021-2022,spring,Mathematical Foundations of Computing, ,cs151,Logic Programming,http://logic.stanford.edu/classes/cs151/,Genesereth
2021-2022-spring-031,2021-2022,spring,Mathematical Foundations of Computing, ,cs155,Computer and Network Security,https://cs155.stanford.edu/,Boneh/Durumeri
